dataset,period,mean,median,std,p05,p95,months
Berkeley Earth HR,1850-1899,-0.8763677777777779,-0.8836944444444446,0.16937152794873292,-1.1492444444444445,-0.5940444444444446,600
Berkeley Earth HR,1900-1949,-0.8058577777777778,-0.7946944444444446,0.20866806317659622,-1.1522444444444444,-0.48014444444444454,600
Berkeley Earth HR,1950-1979,-0.6479972222222223,-0.6486944444444445,0.1489500579705198,-0.8974444444444445,-0.4001444444444445,360
Berkeley Earth HR,1980-1999,-0.2985194444444445,-0.2901944444444445,0.1678124906208362,-0.5490444444444446,-0.005944444444444929,240
Berkeley Earth HR,2000-2014,0.003322222222222165,0.01730555555555552,0.12775095687798277,-0.24389444444444447,0.19910555555555537,180
Berkeley Earth HR,2015-present,0.38676905920519056,0.32280555555555546,0.1808527760345383,0.17240555555555556,0.7234055555555554,137
HadCRUT5,1850-1899,-0.897900420786111,-0.8949562835127778,0.18180209816237228,-1.192231430512778,-0.614968319262778,600
HadCRUT5,1900-1949,-0.7948046823722777,-0.7947505335127778,0.2181722709392151,-1.1680965965127776,-0.44439795101277796,600
HadCRUT5,1950-1979,-0.6276845373025833,-0.6332868785127779,0.14511836595627295,-0.8738017610127778,-0.4103114175127778,360
HadCRUT5,1980-1999,-0.3025049548298611,-0.2954839585127778,0.16515854414969586,-0.5429485145127778,0.01974440998722209,240
HadCRUT5,2000-2014,0.009634099209444441,0.017329901487222243,0.12860953117907697,-0.2295362035127778,0.19064152148722216,180
HadCRUT5,2015-present,0.3768791710798148,0.32638898648722225,0.17627114876109784,0.16243164748722222,0.6795973764872222,135
NASA GISTEMP,1850-1899,-0.8392777777777778,-0.8421944444444445,0.14467042813046932,-1.0526944444444444,-0.6016944444444446,240
NASA GISTEMP,1900-1949,-0.8066944444444445,-0.8221944444444444,0.20383735209765588,-1.1321944444444445,-0.45219444444444445,600
NASA GISTEMP,1950-1979,-0.6265833333333334,-0.6221944444444445,0.14087733018595244,-0.8621944444444445,-0.3921944444444445,360
NASA GISTEMP,1980-1999,-0.29590277777777785,-0.2921944444444445,0.16267121116785624,-0.5621944444444444,-0.021194444444444856,240
NASA GISTEMP,2000-2014,0.007527777777777738,0.00780555555555551,0.13376135906677863,-0.22269444444444447,0.2083055555555553,180
NASA GISTEMP,2015-present,0.39868146796431464,0.3478055555555555,0.19037684938870258,0.15580555555555553,0.7398055555555555,137
NOAA GlobalTemp,1850-1899,-0.7858039444444445,-0.7892728361111112,0.1540460194193059,-1.0232367861111111,-0.5337274861111112,600
NOAA GlobalTemp,1900-1949,-0.7584130977777778,-0.7680218361111112,0.1904518540873093,-1.069636286111111,-0.4291013361111111,600
NOAA GlobalTemp,1950-1979,-0.5984550333333334,-0.5865873361111111,0.13801577378487323,-0.8451949361111112,-0.3834363861111111,360
NOAA GlobalTemp,1980-1999,-0.2831689902777778,-0.2861248361111111,0.14683876721663106,-0.5216970861111112,-0.016994636111111277,240
NOAA GlobalTemp,2000-2014,-0.0027159305555555548,0.008118163888888887,0.11798855647828319,-0.2028738861111111,0.16556896388888886,180
NOAA GlobalTemp,2015-present,0.3934418171735604,0.34997266388888887,0.1626719298749286,0.1984386638888889,0.6922612638888889,137
