ADMIN,trend_c_per_decade_1970_present
Belarus,0.5140404393363852
Moldova,0.5030060613079772
Iraq,0.49640436513456787
Hungary,0.4859393140448371
Romania,0.4768746845665228
Switzerland,0.46900916508235346
Russia,0.4490785052274175
Iran,0.43870805718688355
Austria,0.4333474183134749
Saudi Arabia,0.4274858355633539
Republic of Serbia,0.42610902526932787
Finland,0.4241417422874457
Ukraine,0.41858029475749503
Canada,0.41536311972883705
Greenland,0.4136837382483028
Jordan,0.41333831307959606
Poland,0.41326240891188354
Algeria,0.4083013808175695
Norway,0.4028032033832658
Mongolia,0.39328087074412477
Uzbekistan,0.3850676178563664
Turkey,0.38060649748974107
Vietnam,0.3771008161531274
Afghanistan,0.3723507105818667
Kyrgyzstan,0.370524029119085
Sweden,0.36939298476985843
Georgia,0.3691025062170394
Kazakhstan,0.3663906937261373
China,0.36217247845243655
Egypt,0.3618419598094809
Turkmenistan,0.36162146540665496
Latvia,0.3439636291620082
Yemen,0.33974088145883125
Morocco,0.3382122697651481
Myanmar,0.3360155448319448
Mauritania,0.3347511278922539
France,0.3317881081093099
Italy,0.3277397608076224
Libya,0.3192228118877484
Germany,0.31627046906197764
Greece,0.3056071894949172
Uganda,0.3033696857303734
Nepal,0.2943891361287879
Spain,0.2936030194765906
Ivory Coast,0.29224439296716
Portugal,0.287756750171835
Niger,0.28272772795559903
Ethiopia,0.27851803694850985
Brazil,0.27553864424477775
Mali,0.27388109672538746
United States of America,0.272883655539348
South Sudan,0.2710932992198427
Tajikistan,0.2691406528572608
Bulgaria,0.26759984943611825
Guyana,0.26554204599274456
Japan,0.26488594577714486
Ecuador,0.26339751961272856
Chad,0.26247259825700225
Senegal,0.258293654943483
Venezuela,0.25756365716651053
Oman,0.25494675985639526
Ghana,0.2512997035582348
Central African Republic,0.24900577218666686
South Korea,0.24857737323354973
Democratic Republic of the Congo,0.24819008294003533
Zambia,0.24708796243186923
Sudan,0.24696723629804213
Kenya,0.24548777731121935
United Republic of Tanzania,0.2449312799729118
Mexico,0.24378283964347366
Cameroon,0.24317608060799045
Republic of the Congo,0.24272108701269188
Bolivia,0.24058723235393448
Somalia,0.23808480991783873
Pakistan,0.2345007311047259
Paraguay,0.23007781040155245
Nigeria,0.22665594049489451
Peru,0.22590604212806753
Djibouti,0.22443939227411813
Thailand,0.2181455266603737
Cambodia,0.21541182824894725
Burkina Faso,0.21324064078793611
Colombia,0.21314153142855358
Angola,0.21312644720796664
Bangladesh,0.2128849444242285
Sierra Leone,0.2125061372037126
United Kingdom,0.21202608268806095
Benin,0.20582192000530564
South Africa,0.2052194267965083
Ireland,0.19916499622612188
Zimbabwe,0.1935724830789643
Australia,0.19026640004975492
Namibia,0.18813841112697152
Mozambique,0.18797708547976938
India,0.1827296532957953
Madagascar,0.18187554842822407
Uruguay,0.18022350895240408
Argentina,0.16516465721565854
Botswana,0.1635729977627102
Philippines,0.16222291945784417
Malaysia,0.15129472074321237
Indonesia,0.14374947197955118
New Zealand,0.13057277683974405
Papua New Guinea,0.1267976553862153
Antarctica,0.06359778354461511
Chile,0.05849125376424061
